Nr;Sample;Tijd;Replica;Category;n;total_count;percentage
1;CBS140240;0;1;1Blastoconidia;148;156;94.87179487
2;CBS140240;0;1;2Swollen cells;8;156;5.128205128
3;CBS140240;0;1;3Chlamydospores;0;0;0
4;CBS140240;0;1;4Hyphae;0;0;0
5;CBS140240;0;1;5Unidentified;0;0;0
6;CBS140240;0;2;1Blastoconidia;147;161;91.30434783
7;CBS140240;0;2;2Swollen cells;14;161;8.695652174
8;CBS140240;0;2;3Chlamydospores;0;0;0
9;CBS140240;0;2;4Hyphae;0;0;0
10;CBS140240;0;2;5Unidentified;0;0;0
11;CBS140240;0;3;1Blastoconidia;129;153;84.31372549
12;CBS140240;0;3;2Swollen cells;21;153;13.7254902
13;CBS140240;0;3;3Chlamydospores;0;0;0
14;CBS140240;0;3;4Hyphae;3;153;1.960784314
15;CBS140240;0;3;5Unidentified;0;0;0
16;CBS140240;3;1;1Blastoconidia;135;191;70.68062827
17;CBS140240;3;1;2Swollen cells;51;191;26.70157068
18;CBS140240;3;1;3Chlamydospores;0;0;0
19;CBS140240;3;1;4Hyphae;1;191;0.523560209
20;CBS140240;3;1;5Unidentified;4;191;2.094240838
21;CBS140240;3;2;1Blastoconidia;156;171;91.22807018
22;CBS140240;3;2;2Swollen cells;15;171;8.771929825
23;CBS140240;3;2;3Chlamydospores;0;0;0
24;CBS140240;3;2;4Hyphae;0;0;0
25;CBS140240;3;2;5Unidentified;0;0;0
26;CBS140240;3;3;1Blastoconidia;132;157;84.07643312
27;CBS140240;3;3;2Swollen cells;22;157;14.01273885
28;CBS140240;3;3;3Chlamydospores;0;0;0
29;CBS140240;3;3;4Hyphae;2;157;1.27388535
30;CBS140240;3;3;5Unidentified;1;157;0.636942675
31;CBS140240;6;1;1Blastoconidia;138;225;61.33333333
32;CBS140240;6;1;2Swollen cells;79;225;35.11111111
33;CBS140240;6;1;3Chlamydospores;0;0;0
34;CBS140240;6;1;4Hyphae;4;225;1.777777778
35;CBS140240;6;1;5Unidentified;4;225;1.777777778
36;CBS140240;6;2;1Blastoconidia;136;170;80
37;CBS140240;6;2;2Swollen cells;32;170;18.82352941
38;CBS140240;6;2;3Chlamydospores;0;0;0
39;CBS140240;6;2;4Hyphae;2;170;1.176470588
40;CBS140240;6;2;5Unidentified;0;0;0
41;CBS140240;6;3;1Blastoconidia;119;158;75.3164557
42;CBS140240;6;3;2Swollen cells;35;158;22.15189873
43;CBS140240;6;3;3Chlamydospores;0;0;0
44;CBS140240;6;3;4Hyphae;3;158;1.898734177
45;CBS140240;6;3;5Unidentified;1;158;0.632911392
46;CBS140240;9;1;1Blastoconidia;67;237;28.27004219
47;CBS140240;9;1;2Swollen cells;158;237;66.66666667
48;CBS140240;9;1;3Chlamydospores;0;0;0
49;CBS140240;9;1;4Hyphae;3;237;1.265822785
50;CBS140240;9;1;5Unidentified;9;237;3.797468354
51;CBS140240;9;2;1Blastoconidia;89;243;36.6255144
52;CBS140240;9;2;2Swollen cells;145;243;59.67078189
53;CBS140240;9;2;3Chlamydospores;0;0;0
54;CBS140240;9;2;4Hyphae;3;243;1.234567901
55;CBS140240;9;2;5Unidentified;6;243;2.469135802
56;CBS140240;9;3;1Blastoconidia;64;146;43.83561644
57;CBS140240;9;3;2Swollen cells;72;146;49.31506849
58;CBS140240;9;3;3Chlamydospores;0;0;0
59;CBS140240;9;3;4Hyphae;7;146;4.794520548
60;CBS140240;9;3;5Unidentified;3;146;2.054794521
61;CBS140240;12;1;1Blastoconidia;23;258;8.914728682
62;CBS140240;12;1;2Swollen cells;175;258;67.82945736
63;CBS140240;12;1;3Chlamydospores;0;0;0
64;CBS140240;12;1;4Hyphae;30;258;11.62790698
65;CBS140240;12;1;5Unidentified;30;258;11.62790698
66;CBS140240;12;2;1Blastoconidia;25;232;10.77586207
67;CBS140240;12;2;2Swollen cells;158;232;68.10344828
68;CBS140240;12;2;3Chlamydospores;0;0;0
69;CBS140240;12;2;4Hyphae;29;232;12.5
70;CBS140240;12;2;5Unidentified;20;232;8.620689655
71;CBS140240;12;3;1Blastoconidia;30;158;18.98734177
72;CBS140240;12;3;2Swollen cells;94;158;59.49367089
73;CBS140240;12;3;3Chlamydospores;0;0;0
74;CBS140240;12;3;4Hyphae;30;158;18.98734177
75;CBS140240;12;3;5Unidentified;4;158;2.53164557
76;CBS140240;15;1;1Blastoconidia;38;290;13.10344828
77;CBS140240;15;1;2Swollen cells;110;290;37.93103448
78;CBS140240;15;1;3Chlamydospores;3;290;1.034482759
79;CBS140240;15;1;4Hyphae;106;290;36.55172414
80;CBS140240;15;1;5Unidentified;33;290;11.37931034
81;CBS140240;15;2;1Blastoconidia;70;291;24.05498282
82;CBS140240;15;2;2Swollen cells;110;291;37.80068729
83;CBS140240;15;2;3Chlamydospores;2;291;0.687285223
84;CBS140240;15;2;4Hyphae;77;291;26.4604811
85;CBS140240;15;2;5Unidentified;32;291;10.99656357
86;CBS140240;15;3;1Blastoconidia;67;234;28.63247863
87;CBS140240;15;3;2Swollen cells;87;234;37.17948718
88;CBS140240;15;3;3Chlamydospores;2;234;0.854700855
89;CBS140240;15;3;4Hyphae;71;234;30.34188034
90;CBS140240;15;3;5Unidentified;7;234;2.991452991
